epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,124826,1.84521,1.57627,1.36638,0.42161,0.27514,0.26827,0.10455,2.36454,1.86854,1.1089,0.00769,0.00769,0.00769
72,126580,1.85344,1.58421,1.374,0.43641,0.2905,0.27552,0.10887,2.36494,1.85698,1.11668,0.007657,0.007657,0.007657
73,128380,1.84561,1.57261,1.37153,0.43276,0.27095,0.26073,0.09869,2.45912,1.87664,1.14957,0.007624,0.007624,0.007624
74,130137,1.85152,1.58568,1.37424,0.41592,0.2904,0.27641,0.10626,2.37795,1.80897,1.12221,0.007591,0.007591,0.007591
75,131897,1.83368,1.55999,1.36064,0.42529,0.28911,0.27918,0.10423,2.36396,1.80424,1.11956,0.007558,0.007558,0.007558
76,133659,1.85055,1.58034,1.35957,0.44345,0.28934,0.28637,0.10827,2.34922,1.80194,1.11927,0.007525,0.007525,0.007525
77,135427,1.83707,1.5589,1.35602,0.43017,0.2905,0.27264,0.11067,2.37472,1.79966,1.12914,0.007492,0.007492,0.007492
78,137189,1.83279,1.5511,1.36483,0.4339,0.28911,0.28029,0.10931,2.36156,1.80979,1.12034,0.007459,0.007459,0.007459
79,138949,1.83211,1.5611,1.36214,0.42243,0.27654,0.26958,0.10937,2.33825,1.8037,1.11942,0.007426,0.007426,0.007426
80,140707,1.82645,1.55011,1.35428,0.43041,0.26117,0.25604,0.10367,2.32936,1.82209,1.12654,0.007393,0.007393,0.007393
81,142474,1.82137,1.53065,1.35483,0.42406,0.27654,0.27179,0.10969,2.3369,1.81176,1.12051,0.00736,0.00736,0.00736
82,144234,1.81958,1.52426,1.35394,0.43034,0.2905,0.27807,0.11566,2.31138,1.79515,1.11083,0.007327,0.007327,0.007327
83,146011,1.82239,1.53598,1.35685,0.46153,0.31564,0.30365,0.11747,2.31925,1.75489,1.10499,0.007294,0.007294,0.007294
84,147771,1.83156,1.53417,1.35161,0.46283,0.30866,0.29624,0.11473,2.34916,1.74446,1.1138,0.007261,0.007261,0.007261
85,149527,1.82455,1.52677,1.34674,0.42811,0.30726,0.28158,0.10942,2.36111,1.77558,1.12126,0.007228,0.007228,0.007228
86,151288,1.80795,1.51258,1.34303,0.40115,0.27933,0.27227,0.10519,2.37988,1.82116,1.1314,0.007195,0.007195,0.007195
87,153048,1.80724,1.52,1.34365,0.42895,0.26536,0.27031,0.10488,2.36904,1.81661,1.13144,0.007162,0.007162,0.007162
88,154812,1.81156,1.50763,1.34362,0.41004,0.28492,0.26786,0.10521,2.37478,1.80412,1.13018,0.007129,0.007129,0.007129
89,156580,1.81229,1.50035,1.34379,0.39855,0.26816,0.25822,0.1032,2.36646,1.81355,1.13236,0.007096,0.007096,0.007096
90,158346,1.79953,1.51208,1.34781,0.39907,0.2933,0.27338,0.11122,2.34825,1.78717,1.12383,0.007063,0.007063,0.007063
91,160111,1.80755,1.50132,1.34721,0.41246,0.28073,0.26499,0.10688,2.36765,1.80331,1.13075,0.00703,0.00703,0.00703
92,161870,1.80872,1.51024,1.34959,0.42916,0.28212,0.26561,0.10489,2.34804,1.81132,1.13061,0.006997,0.006997,0.006997
93,163629,1.80341,1.49697,1.33424,0.4198,0.28771,0.2643,0.10467,2.33197,1.79161,1.12402,0.006964,0.006964,0.006964
94,165413,1.80456,1.49985,1.33844,0.40836,0.28438,0.26396,0.10259,2.35011,1.77573,1.128,0.006931,0.006931,0.006931
95,167177,1.79321,1.47829,1.3296,0.4082,0.29749,0.27278,0.10807,2.3564,1.77036,1.13114,0.006898,0.006898,0.006898
96,168939,1.774,1.47203,1.33356,0.3872,0.30028,0.2761,0.10761,2.33489,1.76226,1.11902,0.006865,0.006865,0.006865
97,170696,1.78373,1.47154,1.33156,0.37621,0.29749,0.26542,0.10669,2.34779,1.77686,1.12395,0.006832,0.006832,0.006832
98,172454,1.77888,1.47045,1.32102,0.39,0.2919,0.26527,0.10443,2.37626,1.79363,1.13293,0.006799,0.006799,0.006799
99,174213,1.79413,1.47626,1.33307,0.38656,0.29469,0.26923,0.10529,2.37634,1.81028,1.12916,0.006766,0.006766,0.006766
100,175978,1.76693,1.45731,1.31687,0.3777,0.29609,0.26781,0.10708,2.3607,1.80826,1.12454,0.006733,0.006733,0.006733
101,177736,1.77273,1.44298,1.32841,0.38894,0.30028,0.27656,0.11011,2.35278,1.79517,1.12603,0.0067,0.0067,0.0067
102,179505,1.78416,1.46875,1.32175,0.39176,0.30766,0.2742,0.10806,2.37145,1.80007,1.12818,0.006667,0.006667,0.006667
103,181282,1.78388,1.47193,1.32173,0.37809,0.30587,0.26638,0.10195,2.39399,1.81834,1.13477,0.006634,0.006634,0.006634
104,183043,1.78398,1.46394,1.31924,0.39007,0.30726,0.26693,0.10385,2.37548,1.79737,1.13081,0.006601,0.006601,0.006601
105,184806,1.77864,1.44019,1.32319,0.38602,0.30447,0.263,0.10442,2.372,1.7897,1.12913,0.006568,0.006568,0.006568
106,186566,1.77473,1.45615,1.31451,0.39792,0.31145,0.26867,0.1039,2.37203,1.79845,1.12948,0.006535,0.006535,0.006535
107,188330,1.78197,1.45037,1.32555,0.3922,0.30821,0.26738,0.10433,2.36524,1.79316,1.12757,0.006502,0.006502,0.006502
108,190091,1.77886,1.44558,1.32227,0.39142,0.29469,0.27138,0.10291,2.36621,1.80279,1.12927,0.006469,0.006469,0.006469
109,191853,1.76457,1.4257,1.311,0.3845,0.28911,0.27254,0.10282,2.37167,1.80537,1.13136,0.006436,0.006436,0.006436
110,193615,1.75841,1.43333,1.31546,0.37271,0.27654,0.25888,0.09925,2.37296,1.80709,1.13382,0.006403,0.006403,0.006403
111,195378,1.76352,1.42355,1.31422,0.37608,0.27933,0.25637,0.09963,2.36112,1.80219,1.13237,0.00637,0.00637,0.00637
112,197136,1.76538,1.41492,1.32417,0.37507,0.27235,0.25026,0.09617,2.3883,1.8097,1.13898,0.006337,0.006337,0.006337
113,198897,1.76174,1.43588,1.30866,0.3845,0.25978,0.24804,0.09504,2.39551,1.81438,1.14382,0.006304,0.006304,0.006304
114,200655,1.76476,1.41165,1.30903,0.42163,0.25419,0.25771,0.09828,2.37837,1.7975,1.1362,0.006271,0.006271,0.006271
115,202409,1.76282,1.4188,1.30798,0.40999,0.25559,0.25777,0.09754,2.38487,1.79779,1.1393,0.006238,0.006238,0.006238
116,204176,1.76846,1.4222,1.31272,0.41973,0.26676,0.26114,0.10156,2.37371,1.7847,1.13672,0.006205,0.006205,0.006205
117,205945,1.75615,1.41587,1.29747,0.41581,0.27235,0.2645,0.10444,2.35907,1.77538,1.13246,0.006172,0.006172,0.006172
118,207709,1.74119,1.39913,1.29966,0.42574,0.27654,0.27199,0.10839,2.33036,1.75119,1.12127,0.006139,0.006139,0.006139
119,209474,1.75914,1.41741,1.29835,0.41124,0.29609,0.27806,0.11159,2.32383,1.74345,1.11678,0.006106,0.006106,0.006106
120,211248,1.76297,1.41596,1.29847,0.42022,0.29609,0.2806,0.1121,2.31796,1.74146,1.11565,0.006073,0.006073,0.006073
121,213034,1.7469,1.40049,1.30076,0.42076,0.29469,0.27757,0.11113,2.33364,1.74806,1.12076,0.00604,0.00604,0.00604
122,214800,1.73747,1.37824,1.29091,0.42864,0.2919,0.27372,0.11042,2.33475,1.75298,1.1217,0.006007,0.006007,0.006007
123,216560,1.74238,1.38856,1.29745,0.43125,0.29228,0.27615,0.11231,2.33427,1.7472,1.12231,0.005974,0.005974,0.005974
124,218321,1.72963,1.36101,1.28619,0.43898,0.27933,0.27711,0.11044,2.33415,1.73999,1.12316,0.005941,0.005941,0.005941
125,220081,1.73936,1.38533,1.29216,0.44365,0.27654,0.2782,0.11099,2.33764,1.73051,1.12519,0.005908,0.005908,0.005908
126,221836,1.74035,1.37563,1.2956,0.4467,0.27793,0.27944,0.11146,2.33908,1.72917,1.12509,0.005875,0.005875,0.005875
127,223593,1.74657,1.38075,1.29735,0.45727,0.27374,0.28023,0.11125,2.34812,1.73278,1.12725,0.005842,0.005842,0.005842
128,225352,1.72657,1.37478,1.28641,0.44717,0.28212,0.28234,0.1116,2.34703,1.72826,1.12583,0.005809,0.005809,0.005809
129,227110,1.73128,1.36783,1.28773,0.42892,0.29749,0.2849,0.11268,2.33833,1.72093,1.12348,0.005776,0.005776,0.005776
130,228869,1.70934,1.35784,1.28057,0.4468,0.2919,0.28243,0.1128,2.33719,1.72156,1.12323,0.005743,0.005743,0.005743
131,230631,1.73994,1.36439,1.2882,0.44055,0.2905,0.28351,0.11284,2.33944,1.72211,1.1239,0.00571,0.00571,0.00571
132,232393,1.71825,1.34769,1.28378,0.43941,0.2923,0.28258,0.1128,2.34907,1.72761,1.12593,0.005677,0.005677,0.005677
133,234153,1.72338,1.35617,1.28561,0.43097,0.29749,0.28149,0.1123,2.35353,1.73157,1.12714,0.005644,0.005644,0.005644
134,235912,1.72756,1.35827,1.2867,0.43379,0.2933,0.28003,0.11053,2.36295,1.73616,1.13015,0.005611,0.005611,0.005611
135,237679,1.71988,1.33934,1.28162,0.41572,0.28911,0.27402,0.10989,2.3674,1.73819,1.13138,0.005578,0.005578,0.005578
136,239446,1.72243,1.34721,1.28414,0.42122,0.28631,0.27476,0.10866,2.37517,1.74294,1.13298,0.005545,0.005545,0.005545
137,241216,1.71365,1.33729,1.27591,0.41765,0.28352,0.27274,0.10722,2.38259,1.74615,1.13492,0.005512,0.005512,0.005512
138,242975,1.69525,1.32374,1.27395,0.41077,0.28333,0.27093,0.10678,2.38861,1.74741,1.13685,0.005479,0.005479,0.005479
139,244734,1.7067,1.34529,1.27879,0.41382,0.28199,0.27161,0.10671,2.39113,1.74913,1.1392,0.005446,0.005446,0.005446
140,246499,1.71925,1.35495,1.28187,0.41972,0.28631,0.27614,0.1073,2.38737,1.75045,1.13841,0.005413,0.005413,0.005413
141,248260,1.70644,1.32891,1.27059,0.42921,0.28771,0.27531,0.10691,2.38457,1.7499,1.13763,0.00538,0.00538,0.00538
142,250027,1.706,1.32168,1.27297,0.4316,0.28212,0.27405,0.10678,2.38443,1.74824,1.13712,0.005347,0.005347,0.005347
143,251785,1.71166,1.33066,1.26922,0.4245,0.28212,0.27417,0.10685,2.3842,1.75056,1.13681,0.005314,0.005314,0.005314
144,253541,1.70001,1.31582,1.26452,0.42505,0.28073,0.27082,0.10665,2.3856,1.75331,1.13653,0.005281,0.005281,0.005281
145,255294,1.69343,1.30062,1.26448,0.4226,0.28352,0.27112,0.10655,2.38481,1.75366,1.13564,0.005248,0.005248,0.005248
146,257051,1.68234,1.3041,1.25583,0.42547,0.28443,0.27149,0.106,2.38298,1.75436,1.13524,0.005215,0.005215,0.005215
147,258812,1.69793,1.29258,1.26738,0.42791,0.28519,0.27225,0.10544,2.38522,1.75623,1.13488,0.005182,0.005182,0.005182
148,260571,1.70707,1.32601,1.26596,0.43435,0.2842,0.27206,0.1055,2.38587,1.75821,1.1345,0.005149,0.005149,0.005149
149,262330,1.70049,1.31077,1.27066,0.435,0.28073,0.2719,0.10541,2.38432,1.75787,1.13395,0.005116,0.005116,0.005116
150,264088,1.6848,1.29489,1.25932,0.43267,0.28073,0.27095,0.10511,2.38583,1.75824,1.13402,0.005083,0.005083,0.005083
151,265862,1.69215,1.30113,1.26091,0.43535,0.28073,0.27058,0.10583,2.38492,1.75693,1.13328,0.00505,0.00505,0.00505
152,267644,1.68502,1.28907,1.25914,0.43642,0.28073,0.27128,0.10661,2.38282,1.75506,1.13218,0.005017,0.005017,0.005017
153,269416,1.67317,1.27859,1.25283,0.43326,0.28212,0.27152,0.10689,2.38077,1.75458,1.13155,0.004984,0.004984,0.004984
154,271187,1.67885,1.28825,1.26533,0.43513,0.28212,0.27197,0.10681,2.38113,1.75372,1.13164,0.004951,0.004951,0.004951
155,272955,1.67434,1.28982,1.25295,0.43408,0.28282,0.27187,0.10655,2.38043,1.75098,1.13149,0.004918,0.004918,0.004918
156,274718,1.67266,1.2701,1.24674,0.4292,0.2846,0.27172,0.10689,2.38031,1.74968,1.13172,0.004885,0.004885,0.004885
157,276477,1.67339,1.29454,1.25425,0.42964,0.28212,0.27244,0.10756,2.37907,1.74799,1.13162,0.004852,0.004852,0.004852
158,278242,1.67638,1.27361,1.25474,0.42953,0.28212,0.27306,0.10759,2.37969,1.74811,1.13161,0.004819,0.004819,0.004819
159,280004,1.66477,1.27607,1.25305,0.43343,0.28352,0.27349,0.10736,2.37933,1.74778,1.13191,0.004786,0.004786,0.004786
160,281762,1.66073,1.25565,1.24224,0.43339,0.28073,0.27284,0.10736,2.37786,1.7467,1.13185,0.004753,0.004753,0.004753
161,283520,1.66934,1.26728,1.25177,0.43417,0.28073,0.27288,0.10736,2.37849,1.74784,1.13246,0.00472,0.00472,0.00472
